#lambda elam
7400 0.00
7600 0.14
7800 0.27
8000 0.40
8200 0.41
8400 0.41
8600 0.40
8800 0.38
9000 0.36
9200 0.29
9400 0.23
9600 0.17
9800 0.12
10000 0.06
